Test ID,Stage,Test Name,Shippeo Event Sent,Place Type (Journey Stage),Situation Type,Data Source,Logward Field Being Tested,Value Read From,Test Type,Expected Result,Simple Explanation
D-01,Direct Fields,Carrier POL Locode is written on every event,container_gate_out_empty,Any,Any,Any,carrierUpdatedLocodePol,loading_site.unlocode,Positive,carrierUpdatedLocodePol = CNNGB (or the sent UNLOCODE),Every webhook updates the Port of Loading UNLOCODE on the shipment record
D-02,Direct Fields,Carrier POD Locode is written on every event,container_arrived,Any,Any,Any,carrierUpdatedLocodePod,delivery_site.unlocode,Positive,carrierUpdatedLocodePod = NLRTM (or the sent UNLOCODE),Every webhook updates the Port of Discharge UNLOCODE on the shipment record
D-03,Direct Fields,Event timezone is written on every event,container_departed,Any,Any,Any,datetime_timezone,event_site.timezone,Positive,datetime_timezone = Europe/Amsterdam (or the sent timezone),Every webhook updates the timezone of where the event happened
D-04,Direct Fields,POL Locode updates when a new event arrives with different UNLOCODE,container_loaded,Any,Any,Any,carrierUpdatedLocodePol,loading_site.unlocode,Edge Case,carrierUpdatedLocodePol is overwritten with latest UNLOCODE,If carrier changes the port the latest value should always win
D-05,Direct Fields,POD Locode updates when a new event arrives with different UNLOCODE,container_departed,Any,Any,Any,carrierUpdatedLocodePod,delivery_site.unlocode,Edge Case,carrierUpdatedLocodePod is overwritten with latest UNLOCODE,If carrier changes the port the latest value should always win
D-06,Direct Fields,Missing loading_site.unlocode does not crash the system,container_gate_out_empty,Any,Any,Any,carrierUpdatedLocodePol,loading_site.unlocode,Negative,carrierUpdatedLocodePol = null — no crash,System should gracefully handle missing data without breaking
D-07,Direct Fields,Missing delivery_site.unlocode does not crash the system,container_arrived,Any,Any,Any,carrierUpdatedLocodePod,delivery_site.unlocode,Negative,carrierUpdatedLocodePod = null — no crash,System should gracefully handle missing data without breaking
D-08,Direct Fields,Missing event_site.timezone does not crash the system,container_departed,Any,Any,Any,datetime_timezone,event_site.timezone,Negative,datetime_timezone = null — no crash,System should gracefully handle missing data without breaking
PC-01,Pre-Carriage,Actual gate-out date is recorded at origin depot,container_gate_out_empty,Origin Depot,Actual,Any,actualGateOutEmptyDepot,situation.date,Positive,actualGateOutEmptyDepot = sent date,Records when the empty container left the depot at origin
PC-02,Pre-Carriage,Origin depot country is recorded at actual gate-out,container_gate_out_empty,Origin Depot,Actual,Any,depotPreCountry,event_site.country,Positive,depotPreCountry = country of event location,Records which country the origin depot is in
PC-03,Pre-Carriage,Origin depot city is recorded at actual gate-out,container_gate_out_empty,Origin Depot,Actual,Any,depotPreLocation,event_site.city,Positive,depotPreLocation = city of event location,Records which city the origin depot is in
PC-04,Pre-Carriage,Mode of transport is recorded at actual gate-out from depot,container_gate_out_empty,Origin Depot,Actual,Any,motGateOutEmpty,situation.transport_mode,Positive,motGateOutEmpty = ocean,Records how the container left the origin depot (truck/ocean etc)
PC-05,Pre-Carriage,Estimated gate-out date is recorded at origin depot,container_gate_out_empty,Origin Depot,Estimated,External (Carrier),estimatedGateOutEmptyDepot,situation.date,Positive,estimatedGateOutEmptyDepot = sent date,Records the carrier's estimated date for when empty container will leave depot
PC-06,Pre-Carriage,Origin depot country also recorded on estimated gate-out,container_gate_out_empty,Origin Depot,Estimated,External (Carrier),depotPreCountry,event_site.country,Positive,depotPreCountry = country of event location,Country is written on both actual and estimated events
PC-07,Pre-Carriage,Origin depot city also recorded on estimated gate-out,container_gate_out_empty,Origin Depot,Estimated,External (Carrier),depotPreLocation,event_site.city,Positive,depotPreLocation = city of event location,City is written on both actual and estimated events
PC-08,Pre-Carriage,Mode of transport also recorded on estimated gate-out from depot,container_gate_out_empty,Origin Depot,Estimated,External (Carrier),motGateOutEmpty,situation.transport_mode,Positive,motGateOutEmpty = ocean,MOT is written on both actual and estimated events
PC-09,Pre-Carriage,Estimated with Shippeo as data source does NOT write to estimated gate-out field,container_gate_out_empty,Origin Depot,Estimated,Shippeo (Platform),estimatedGateOutEmptyDepot,situation.date,Negative,estimatedGateOutEmptyDepot NOT updated — field stays unchanged,Only carrier-provided estimates (external) map to estimated fields. Shippeo estimates are ignored here
PC-10,Pre-Carriage,Estimated with null data_source does NOT write gate-out date,container_gate_out_empty,Origin Depot,Estimated,None / Null,estimatedGateOutEmptyDepot,situation.date,Negative,estimatedGateOutEmptyDepot NOT updated,Data source must be explicitly 'external' for this mapping to fire
PC-11,Pre-Carriage,Null city in event does not crash — depotPreLocation stored as null,container_gate_out_empty,Origin Depot,Actual,Any,depotPreLocation,event_site.city,Edge Case,depotPreLocation = null — no crash,Missing city should not break the system; null is acceptable
PC-12,Pre-Carriage,Null country in event does not crash — depotPreCountry stored as null,container_gate_out_empty,Origin Depot,Actual,Any,depotPreCountry,event_site.country,Edge Case,depotPreCountry = null — no crash,Missing country should not break the system; null is acceptable
PC-13,Pre-Carriage,Actual gate-out date from Port of Loading (no transhipment route),container_gate_out_empty,Port of Loading,Actual,Any,actualGateOutEmptyDepot,situation.date,Positive,actualGateOutEmptyDepot = sent date,On direct routes (no transhipment) the gate-out can be at the POL itself
PC-14,Pre-Carriage,Depot country city and MOT also written when gate-out at POL (no transhipment),container_gate_out_empty,Port of Loading,Actual,Any,depotPreCountry + depotPreLocation + motGateOutEmpty,event_site.country + city + situation.transport_mode,Positive,All three depot fields written,On direct routes all depot fields are populated from POL gate-out event
PC-15,Pre-Carriage,Estimated gate-out at POL (no transhipment) writes estimated date,container_gate_out_empty,Port of Loading,Estimated,External (Carrier),estimatedGateOutEmptyDepot,situation.date,Positive,estimatedGateOutEmptyDepot = sent date,Carrier-estimated gate-out at POL on direct routes
PC-16,Pre-Carriage,Depot fields also written on estimated gate-out at POL,container_gate_out_empty,Port of Loading,Estimated,External (Carrier),depotPreCountry + depotPreLocation + motGateOutEmpty,event_site fields,Positive,All three depot fields written,Country city and MOT are written on estimated events at POL too
PC-17,Pre-Carriage,Gate-out at wrong place type (discharge) does not write pre-carriage fields,container_gate_out_empty,Port of Discharge,Actual,Any,actualGateOutEmptyDepot,—,Negative,actualGateOutEmptyDepot NOT updated — no pre-carriage write,Only origin_inland_location and loading place types trigger pre-carriage mapping
PC-18,Pre-Carriage,Gate-out at transhipment port does not trigger pre-carriage mapping,container_gate_out_empty,Transhipment Port,Actual,Any,actualGateOutEmptyDepot,—,Negative,actualGateOutEmptyDepot NOT updated,Transhipment events follow TSP logic not pre-carriage mapping
PC-19,Pre-Carriage,Actual departure date recorded at origin depot,container_departed,Origin Depot,Actual,Any,actualDepartureFromOrigin,situation.date,Positive,actualDepartureFromOrigin = sent date,Records when the container physically left the origin inland location
PC-20,Pre-Carriage,Pickup origin MOT recorded at actual departure,container_departed,Origin Depot,Actual,Any,motPickUpOrigin,situation.transport_mode,Positive,motPickUpOrigin = ocean,Records how the container was picked up from origin (truck/rail/ocean)
PC-21,Pre-Carriage,Pickup origin country recorded at actual departure,container_departed,Origin Depot,Actual,Any,pickUpOriginCountry,event_site.country,Positive,pickUpOriginCountry = country of event,Records the country where the container was picked up
PC-22,Pre-Carriage,Pickup origin city recorded at actual departure,container_departed,Origin Depot,Actual,Any,pickUpOriginLocation,event_site.city,Positive,pickUpOriginLocation = city of event,Records the city where the container was picked up
PC-23,Pre-Carriage,Estimated departure date recorded at origin depot,container_departed,Origin Depot,Estimated,External (Carrier),estimatedDepartureFromOrigin,situation.date,Positive,estimatedDepartureFromOrigin = sent date,Carrier's estimated departure date from origin depot
PC-24,Pre-Carriage,MOT also written on estimated departure from origin,container_departed,Origin Depot,Estimated,External (Carrier),motPickUpOrigin,situation.transport_mode,Positive,motPickUpOrigin = ocean,MOT is written on both actual and estimated departure events
PC-25,Pre-Carriage,Pickup country also written on estimated departure,container_departed,Origin Depot,Estimated,External (Carrier),pickUpOriginCountry,event_site.country,Positive,pickUpOriginCountry = country of event,Country written on both actual and estimated departure
PC-26,Pre-Carriage,Pickup city also written on estimated departure,container_departed,Origin Depot,Estimated,External (Carrier),pickUpOriginLocation,event_site.city,Positive,pickUpOriginLocation = city of event,City written on both actual and estimated departure
PC-27,Pre-Carriage,container_departed at POL does NOT set pre-carriage fields,container_departed,Port of Loading,Actual,Any,actualDepartureFromOrigin,—,Negative,actualDepartureFromOrigin NOT updated — POL mapping fires instead,Departure at POL maps to POL fields not pre-carriage fields
PC-28,Pre-Carriage,Estimated departure with Shippeo data source does NOT write estimated departure field,container_departed,Origin Depot,Estimated,Shippeo (Platform),estimatedDepartureFromOrigin,—,Negative,estimatedDepartureFromOrigin NOT updated,Shippeo-sourced estimated departure doesn't map to pre-carriage estimated field
PC-29,Pre-Carriage,Actual loading date recorded at origin depot,container_loaded,Origin Depot,Actual,Any,actualLoadedAtOrigin,situation.date,Positive,actualLoadedAtOrigin = sent date,Records when the container was physically loaded at origin location
PC-30,Pre-Carriage,Estimated loading date recorded at origin depot,container_loaded,Origin Depot,Estimated,External (Carrier),estimatedLoadedAtOrigin,situation.date,Positive,estimatedLoadedAtOrigin = sent date,Carrier's estimated loading date at origin
PC-31,Pre-Carriage,container_loaded at POL does NOT set actualLoadedAtOrigin,container_loaded,Port of Loading,Actual,Any,actualLoadedAtOrigin,—,Negative,actualLoadedAtOrigin NOT updated — POL mapping fires instead,Loading at POL maps to actualLoadPol not pre-carriage
PC-32,Pre-Carriage,container_loaded at origin with Shippeo data source does NOT write estimated loaded field,container_loaded,Origin Depot,Estimated,Shippeo (Platform),estimatedLoadedAtOrigin,—,Negative,estimatedLoadedAtOrigin NOT updated,Shippeo-sourced estimated not mapped here
POL-01,Port of Loading,Actual gate-in at POL recorded from container_gate_out_full,container_gate_out_full,Port of Loading,Actual,Any,actualGateInPol,situation.date,Positive,actualGateInPol = sent date,Records when the container entered the port (from gate-out-full event)
POL-02,Port of Loading,Actual gate-in at POL recorded from container_arrived,container_arrived,Port of Loading,Actual,Any,actualGateInPol,situation.date,Positive,actualGateInPol = sent date,Three different events can populate this same field — whichever comes first
POL-03,Port of Loading,Actual gate-in at POL recorded from container_gate_in_full,container_gate_in_full,Port of Loading,Actual,Any,actualGateInPol,situation.date,Positive,actualGateInPol = sent date,Third event that maps to the same gate-in field
