Test ID,Group,Test Name,trackingStatus,bookingNumber (BN),billOfLadingNumber (BL),containerNumber (CN),carrierScac (SCAC),Step 2 Update,Expected active,Expected valid,MongoDB Created,Shippeo Order Created,Test Type,Expected Result,Simple Explanation
S-01,Full Pass,BN + BL + CN + SCAC + InProgress,In Progress,PROVIDED,PROVIDED,PROVIDED,PROVIDED,None,1,1,YES,YES,Positive,active=1 valid=1 - MongoDB document created - Shippeo order searchable,All fields and correct status provided - complete end to end pass
S-02,Full Pass,BN + CN + SCAC + InProgress,In Progress,PROVIDED,NOT PROVIDED,PROVIDED,PROVIDED,None,1,1,YES,YES,Positive,active=1 valid=1 - MongoDB document created - Shippeo order searchable,Booking number is enough as the identifier alongside CN and SCAC
S-03,Full Pass,BL + CN + SCAC + InProgress,In Progress,NOT PROVIDED,PROVIDED,PROVIDED,PROVIDED,None,1,1,YES,YES,Positive,active=1 valid=1 - MongoDB document created - Shippeo order searchable,Bill of Lading is enough as the identifier alongside CN and SCAC
S-04,active=0 (no status),BN + CN + SCAC - no status,NOT SET,PROVIDED,NOT PROVIDED,PROVIDED,PROVIDED,None,0,0,NO,NO,Negative,active=0 valid=0 - ATC not satisfied - nothing created,trackingStatus is missing - Logward does not activate tracking without it
S-05,active=0 (no status),BL + CN + SCAC - no status,NOT SET,NOT PROVIDED,PROVIDED,PROVIDED,PROVIDED,None,0,0,NO,NO,Negative,active=0 valid=0 - ATC not satisfied,Same but using BL - status is still the missing piece
S-06,active=0 (no status),BN + BL + CN + SCAC - no status,NOT SET,PROVIDED,PROVIDED,PROVIDED,PROVIDED,None,0,0,NO,NO,Negative,active=0 valid=0 - ATC not satisfied,Even with all three identifiers - without InProgress status ATC is not triggered
S-07,active=0 (no status),status=InProgress alone - no other fields,In Progress,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,None,0,0,NO,NO,Negative,active=0 valid=0 - status alone is not enough,Setting status without any tracking identifiers does not satisfy ATC
S-08,active=0 (no status),status=Cancelled + full identifiers,Cancelled,PROVIDED,NOT PROVIDED,PROVIDED,PROVIDED,None,0,0,NO,NO,Negative,active=0 valid=0 - wrong status value,Only InProgress triggers ATC - Cancelled does not
S-09,active=0 (no status),status=Completed + full identifiers,Completed,PROVIDED,NOT PROVIDED,PROVIDED,PROVIDED,None,0,0,NO,NO,Negative,active=0 valid=0 - wrong status value,Only InProgress triggers ATC - Completed does not
S-10,active=1 valid=0,status=InProgress + BN only,In Progress,PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,None,1,0,NO,NO,Negative,active=1 valid=0 - CN and SCAC missing,Status satisfies ATC (active=1) but containerNumber and SCAC are required for valid=1
S-11,active=1 valid=0,status=InProgress + BL only,In Progress,NOT PROVIDED,PROVIDED,NOT PROVIDED,NOT PROVIDED,None,1,0,NO,NO,Negative,active=1 valid=0 - CN and SCAC missing,BL alone is not enough - container number and SCAC are also required
S-12,active=1 valid=0,status=InProgress + CN + SCAC - no identifier,In Progress,NOT PROVIDED,NOT PROVIDED,PROVIDED,PROVIDED,None,1,0,NO,NO,Negative,active=1 valid=0 - no booking identifier (BN or BL),Container and SCAC are present but Shippeo needs at least BN or BL to create an order
S-13,active=1 valid=0,status=InProgress + BN + CN - no SCAC,In Progress,PROVIDED,NOT PROVIDED,PROVIDED,NOT PROVIDED,None,1,0,NO,NO,Negative,active=1 valid=0 - SCAC missing,SCAC is required - Shippeo cannot identify the carrier without it
S-14,active=1 valid=0,status=InProgress + BN + SCAC - no CN,In Progress,PROVIDED,NOT PROVIDED,NOT PROVIDED,PROVIDED,None,1,0,NO,NO,Negative,active=1 valid=0 - containerNumber missing,Container number is required for Shippeo to track the physical container
