TC ID,Tab,Type,Sub-Type,Webhook Event,Event Site,ATU Fields Written,Expected Value,Condition / Why it blocks,Pass Criteria
LS-P-01,Loading Site,Positive,T2,received_from_shipper,BLR / IN,receivedFromShipperDate,situation.date,N/A,receivedFromShipperDate = sent ISO date
LS-P-02,Loading Site,Positive,T2,goods_arrived_at_loading_arrived,BLR / IN,loadingArrivedDate,situation.date,N/A,loadingArrivedDate = sent ISO date
LS-P-03,Loading Site,Positive,T2,goods_loading_compliant_compliant,BLR / IN,"loadingCompliantDate | loadingCompliantSituationCode | loadingCompliantJustificationCode",situation.date + situation_code + justification_code,N/A,All 3 fields written from payload
LS-P-04,Loading Site,Positive,T2,goods_left_loading_left,BLR / IN,loadingLeftDate,situation.date,N/A,loadingLeftDate = sent ISO date
LS-P-05,Loading Site,Positive,T3,"goods_loading_non_compliant_damaged (suffix -> ""damaged"")",BLR / IN,loadingNonCompliantDate | loadingNonCompliantJustification,"situation.date + ""damaged""",N/A,"Date written; justification = ""damaged"""
LS-P-06,Loading Site,Positive,T3,"goods_loading_non_realised_cancelled (suffix -> ""cancelled"")",BLR / IN,loadingNonRealisedDate | loadingNonRealisedJustification,"situation.date + ""cancelled""",N/A,"Date written; justification = ""cancelled"""
LS-P-07,Loading Site,Positive,T3,"goods_loading_refused_oversize (suffix -> ""oversize"")",BLR / IN,loadingRefusedDate | loadingRefusedJustification,"situation.date + ""oversize""",N/A,"Date written; justification = ""oversize"""
LS-P-08,Loading Site,Positive,T5,"manifested (event_site = BLR/IN -> ""loading"" prefix)",BLR / IN,loadingManifestedDate,situation.date,N/A,event_site matches loadingSiteIata+Country -> loadingManifestedDate set
LS-P-09,Loading Site,Positive,T5,"eta_event (event_site = BLR/IN -> ""loading"" prefix)",BLR / IN,loadingETADate,situation.date,N/A,loadingETADate = sent date
LS-P-10,Loading Site,Positive,T5,"received_from_flight (event_site = BLR/IN -> ""loading"" prefix)",BLR / IN,loadingReceivedFromFlightDate,situation.date,N/A,loadingReceivedFromFlightDate = sent date
