Shippeo Air Events-Out – Field Mapping (air-order-event-out.json ? Logward) v5;;;;;;
Booked, Manifested, ETA, ReceivedFromFlight split per location (Loading/Delivery/Hub×4). Delivery Hub mapped into hub stops. Max 4 intermediate stops.;;;;;;
;;;;;;
Section;Logward Output Field;CONDITIONS;Shippeo Source Path;Data Type;Mandatory;Notes / Comments
IDENTIFIERS; ; ; ; ; ; 
IDENTIFIERS;masterAirWaybillNumber;—;order.edi_reference;String;Yes;Master Air Waybill number. Primary tracking key.
IDENTIFIERS;houseAirWaybillNumber;—;order.edi_reference;String;;House Air Waybill. Same source — value is MAWB or HAWB depending on setup.
IDENTIFIERS;orderReference;—;order.reference;String;;Shippeo order reference
IDENTIFIERS;airCustomerReference;—;order.client_reference;String;Yes;Customer reference. Use with MAWB/HAWB to match shipments.
IDENTIFIERS;consignmentReference;—;situation_justification.attributes.consignmentReference;String;;Consignment reference
IDENTIFIERS;orderUrl;—;order.url;String;;Shippeo tracking URL
LOADING SITE (ORIGIN) — static per shipment; ; ; ; ; ; 
LOADING SITE (ORIGIN) — static per shipment;loadingSiteName;—;loading_site.name;String;;
LOADING SITE (ORIGIN) — static per shipment;loadingSiteIata;—;loading_site.iata_code;String;;IATA code (null for land locations)
LOADING SITE (ORIGIN) — static per shipment;loadingSiteAddressLine;—;loading_site.address_line;String;;Street address (for land/inland locations)
LOADING SITE (ORIGIN) — static per shipment;loadingSiteCity;—;loading_site.city;String;;
LOADING SITE (ORIGIN) — static per shipment;loadingSiteZipcode;—;loading_site.zipcode;String;;
LOADING SITE (ORIGIN) — static per shipment;loadingSiteCountry;—;loading_site.country;String;;ISO country code
DELIVERY SITE (DESTINATION) — static per shipment; ; ; ; ; ; 
DELIVERY SITE (DESTINATION) — static per shipment;deliverySiteName;—;delivery_site.name;String;;
DELIVERY SITE (DESTINATION) — static per shipment;deliverySiteIata;—;delivery_site.iata_code;String;;IATA code (null for land locations)
DELIVERY SITE (DESTINATION) — static per shipment;deliverySiteAddressLine;—;delivery_site.address_line;String;;Street address (for land/inland locations)
DELIVERY SITE (DESTINATION) — static per shipment;deliverySiteCity;—;delivery_site.city;String;;
DELIVERY SITE (DESTINATION) — static per shipment;deliverySiteZipcode;—;delivery_site.zipcode;String;;
DELIVERY SITE (DESTINATION) — static per shipment;deliverySiteCountry;—;delivery_site.country;String;;ISO country code
BOOKING – AT LOADING (event_site = loading_site); ; ; ; ; ; 
BOOKING – AT LOADING (event_site = loading_site);loadingBookedDate;booked;situation.date;DateTime;;Booking at origin. Condition: event_site == loading_site
BOOKING – AT DELIVERY (event_site = delivery_site); ; ; ; ; ; 
BOOKING – AT DELIVERY (event_site = delivery_site);deliveryBookedDate;booked;situation.date;DateTime;;Booking at destination. Condition: event_site == delivery_site
HUB SITE (INTERMEDIATE STOP 1) — static per shipment; ; ; ; ; ; 
HUB SITE (INTERMEDIATE STOP 1) — static per shipment;hubSiteDescription_stop1;;event_site.description;String;;Hub stop 1 booking — location name
HUB SITE (INTERMEDIATE STOP 1) — static per shipment;hubSiteIata_stop1;;event_site.iata_code;String;;IATA code (null for land locations)
HUB SITE (INTERMEDIATE STOP 1) — static per shipment;hubSiteAddressLine_stop1;;event_site.address_line;String;;Street address (for land/inland locations)
HUB SITE (INTERMEDIATE STOP 1) — static per shipment;hubSiteCity_stop1;;event_site.city;String;;
HUB SITE (INTERMEDIATE STOP 1) — static per shipment;hubSiteZipcode_stop1;;event_site.zipcode;String;;
HUB SITE (INTERMEDIATE STOP 1) — static per shipment;hubSiteCountry_stop1;;event_site.country;String;;ISO country code
HUB SITE (INTERMEDIATE STOP 2) — static per shipment; ;; ; ; ; 
HUB SITE (INTERMEDIATE STOP 2) — static per shipment;hubSiteDescription_stop2;;event_site.description;String;;Hub stop 2 booking — location name
HUB SITE (INTERMEDIATE STOP 2) — static per shipment;hubSiteIata_stop2;;event_site.iata_code;String;;IATA code (null for land locations)
HUB SITE (INTERMEDIATE STOP 2) — static per shipment;hubSiteAddressLine_stop2;;event_site.address_line;String;;Street address (for land/inland locations)
HUB SITE (INTERMEDIATE STOP 2) — static per shipment;hubSiteCity_stop2;;event_site.city;String;;
HUB SITE (INTERMEDIATE STOP 2) — static per shipment;hubSiteZipcode_stop2;;event_site.zipcode;String;;
HUB SITE (INTERMEDIATE STOP 2) — static per shipment;hubSiteCountry_stop2;;event_site.country;String;;ISO country code
HUB SITE (INTERMEDIATE STOP 3) — static per shipment; ;; ; ; ; 
HUB SITE (INTERMEDIATE STOP 3) — static per shipment;hubSiteDescription_stop3;;event_site.description;String;;Hub stop 3 booking — location name
HUB SITE (INTERMEDIATE STOP 3) — static per shipment;hubSiteIata_stop3;;event_site.iata_code;String;;IATA code (null for land locations)
HUB SITE (INTERMEDIATE STOP 3) — static per shipment;hubSiteAddressLine_stop3;;event_site.address_line;String;;Street address (for land/inland locations)
HUB SITE (INTERMEDIATE STOP 3) — static per shipment;hubSiteCity_stop3;;event_site.city;String;;
HUB SITE (INTERMEDIATE STOP 3) — static per shipment;hubSiteZipcode_stop3;;event_site.zipcode;String;;
HUB SITE (INTERMEDIATE STOP 3) — static per shipment;hubSiteCountry_stop3;;event_site.country;String;;ISO country code
HUB SITE (INTERMEDIATE STOP 4) — static per shipment; ;; ; ; ; 
HUB SITE (INTERMEDIATE STOP 4) — static per shipment;hubSiteDescription_stop4;;event_site.description;String;;Hub stop 4 booking — location name
HUB SITE (INTERMEDIATE STOP 4) — static per shipment;hubSiteIata_stop4;;event_site.iata_code;String;;IATA code (null for land locations)
HUB SITE (INTERMEDIATE STOP 4) — static per shipment;hubSiteAddressLine_stop4;;event_site.address_line;String;;Street address (for land/inland locations)
HUB SITE (INTERMEDIATE STOP 4) — static per shipment;hubSiteCity_stop4;;event_site.city;String;;
HUB SITE (INTERMEDIATE STOP 4) — static per shipment;hubSiteZipcode_stop4;;event_site.zipcode;String;;
HUB SITE (INTERMEDIATE STOP 4) — static per shipment;hubSiteCountry_stop4;;event_site.country;String;;ISO country code
BOOKING – AT HUB  ×4 stops (event_site ? loading ? delivery); ; ; ; ; ; 
BOOKING – AT HUB  ×4 stops (event_site ? loading ? delivery);hubBookedDate_stop1;booked;situation.date;DateTime;;Stop 1: Booking at intermediate. Condition: event_site ? loading ? delivery
BOOKING – AT HUB  ×4 stops (event_site ? loading ? delivery);hubBookedDate_stop2;booked;situation.date;DateTime;;Stop 2: Booking at intermediate. Condition: event_site ? loading ? delivery
BOOKING – AT HUB  ×4 stops (event_site ? loading ? delivery);hubBookedDate_stop3;booked;situation.date;DateTime;;Stop 3: Booking at intermediate. Condition: event_site ? loading ? delivery
BOOKING – AT HUB  ×4 stops (event_site ? loading ? delivery);hubBookedDate_stop4;booked;situation.date;DateTime;;Stop 4: Booking at intermediate. Condition: event_site ? loading ? delivery
MANIFESTED – AT LOADING (event_site = loading_site); ; ; ; ; ; 
MANIFESTED – AT LOADING (event_site = loading_site);loadingManifestedDate;manifested;situation.date;DateTime;;Manifested at origin
MANIFESTED – AT DELIVERY (event_site = delivery_site); ; ; ; ; ; 
MANIFESTED – AT DELIVERY (event_site = delivery_site);deliveryManifestedDate;manifested;situation.date;DateTime;;Manifested at destination
MANIFESTED – AT HUB  ×4 stops; ; ; ; ; ; 
MANIFESTED – AT HUB  ×4 stops;hubManifestedDate_stop1;manifested;situation.date;DateTime;;Stop 1: Manifested at intermediate
MANIFESTED – AT HUB  ×4 stops;hubManifestedDate_stop2;manifested;situation.date;DateTime;;Stop 2: Manifested at intermediate
MANIFESTED – AT HUB  ×4 stops;hubManifestedDate_stop3;manifested;situation.date;DateTime;;Stop 3: Manifested at intermediate
MANIFESTED – AT HUB  ×4 stops;hubManifestedDate_stop4;manifested;situation.date;DateTime;;Stop 4: Manifested at intermediate
ETA – AT LOADING (event_site = loading_site); ; ; ; ; ; 
ETA – AT LOADING (event_site = loading_site);loadingETADate;eta_event;situation.date;DateTime;;ETA at origin
ETA – AT DELIVERY (event_site = delivery_site); ; ; ; ; ; 
ETA – AT DELIVERY (event_site = delivery_site);deliveryETADate;eta_event;situation.date;DateTime;;ETA at destination
ETA – AT HUB  ×4 stops; ; ; ; ; ; 
ETA – AT HUB  ×4 stops;hubETADate_stop1;eta_event;situation.date;DateTime;;Stop 1: ETA at intermediate
ETA – AT HUB  ×4 stops;hubETADate_stop2;eta_event;situation.date;DateTime;;Stop 2: ETA at intermediate
ETA – AT HUB  ×4 stops;hubETADate_stop3;eta_event;situation.date;DateTime;;Stop 3: ETA at intermediate
ETA – AT HUB  ×4 stops;hubETADate_stop4;eta_event;situation.date;DateTime;;Stop 4: ETA at intermediate
RECEIVED FROM SHIPPER (Freight on Hand); ; ; ; ; ; 
