Test ID,Stage,Type,Target Field,Event,Place Type,Sit. Type,Data Source,event_site.city,event_site.country,Loading Site,Delivery Site,Expected Result,Fields That MAP,Fields That DO NOT MAP,What Was Sent Wrong,Notes
DS-PC-P-01,Pre-Carriage,Positive,actualGateOutEmptyDepot,container_gate_out_empty,origin_inland_location,actual,null,Suzhou,CN,CNSHA,NLRTM,PASS,actualGateOutEmptyDepot | depotPreLocation | depotPreCountry | motGateOutEmpty | carrierUpdatedLocodePol | carrierUpdatedLocodePod,none,none,All 3 conditions met: event + place_type + type=actual
DS-PC-P-02,Pre-Carriage,Positive,estimatedGateOutEmptyDepot,container_gate_out_empty,origin_inland_location,estimated,external,Suzhou,CN,CNSHA,NLRTM,PASS,estimatedGateOutEmptyDepot | depotPreLocation | depotPreCountry | motGateOutEmpty | carrierUpdatedLocodePol | carrierUpdatedLocodePod,actualGateOutEmptyDepot,none,All 4 conditions met: event + place_type + type=estimated + DS=external; actualGateOutEmptyDepot not mapped because type≠actual
DS-PC-P-03,Pre-Carriage,Positive,actualDepartureFromOrigin,container_departed,origin_inland_location,actual,null,Shanghai,CN,CNSHA,NLRTM,PASS,actualDepartureFromOrigin | pickUpOriginLocation | pickUpOriginCountry | motPickUpOrigin | carrierUpdatedLocodePol | carrierUpdatedLocodePod,none,none,All 3 conditions met: event=container_departed + place_type + type=actual
DS-PC-P-04,Pre-Carriage,Positive,estimatedDepartureFromOrigin,container_departed,origin_inland_location,estimated,external,Shanghai,CN,CNSHA,NLRTM,PASS,estimatedDepartureFromOrigin | pickUpOriginLocation | pickUpOriginCountry | motPickUpOrigin | carrierUpdatedLocodePol | carrierUpdatedLocodePod,actualDepartureFromOrigin,none,All 4 conditions met; actual not mapped because type≠actual
DS-PC-P-05,Pre-Carriage,Positive,actualLoadedAtOrigin,container_loaded,origin_inland_location,actual,null,Guangzhou,CN,CNSHA,NLRTM,PASS,actualLoadedAtOrigin | carrierUpdatedLocodePol | carrierUpdatedLocodePod,none,none,event=container_loaded + place_type=origin_inland + type=actual
DS-PC-P-06,Pre-Carriage,Positive,estimatedLoadedAtOrigin,container_loaded,origin_inland_location,estimated,external,Guangzhou,CN,CNSHA,NLRTM,PASS,estimatedLoadedAtOrigin | carrierUpdatedLocodePol | carrierUpdatedLocodePod,actualLoadedAtOrigin,none,event=container_loaded + place_type=origin_inland + type=estimated + DS=external
DS-PC-N-01,Pre-Carriage,Negative,actualGateOutEmptyDepot none wrong type,container_gate_out_empty,origin_inland_location,estimated,null,Suzhou,CN,CNSHA,NLRTM,PASS (blocked),depotPreLocation | depotPreCountry | motGateOutEmpty | carrierUpdatedLocodePol | carrierUpdatedLocodePod,actualGateOutEmptyDepot | estimatedGateOutEmptyDepot,type=estimated (requires actual) + DS=null (blocks estimated too),Neither actual nor estimated date maps. Location fields still map none no type/DS condition on them
DS-PC-N-02,Pre-Carriage,Negative,actualDepartureFromOrigin none wrong type,container_departed,origin_inland_location,estimated,null,Shanghai,CN,CNSHA,NLRTM,PASS (blocked),pickUpOriginLocation | pickUpOriginCountry | motPickUpOrigin | carrierUpdatedLocodePol | carrierUpdatedLocodePod,actualDepartureFromOrigin | estimatedDepartureFromOrigin,type=estimated (requires actual) + DS=null (blocks estimated too),Neither actual nor estimated date maps. Location fields still map
DS-PC-N-03,Pre-Carriage,Negative,actualLoadedAtOrigin none wrong type,container_loaded,origin_inland_location,estimated,null,Guangzhou,CN,CNSHA,NLRTM,PASS (blocked),carrierUpdatedLocodePol | carrierUpdatedLocodePod,actualLoadedAtOrigin | estimatedLoadedAtOrigin,type=estimated (requires actual) + DS=null (blocks estimated too),Neither actual nor estimated date maps
DS-PC-N-04,Pre-Carriage,Negative,estimatedGateOutEmptyDepot none wrong DS,container_gate_out_empty,origin_inland_location,estimated,carrier,Suzhou,CN,CNSHA,NLRTM,PASS (blocked),depotPreLocation | depotPreCountry | motGateOutEmpty | carrierUpdatedLocodePol | carrierUpdatedLocodePod,estimatedGateOutEmptyDepot | actualGateOutEmptyDepot,DS=carrier (requires external) + type=estimated (blocks actual),Neither date field maps. DS=carrier is not external. Location fields still map
DS-PC-N-05,Pre-Carriage,Negative,estimatedDepartureFromOrigin none wrong DS,container_departed,origin_inland_location,estimated,carrier,Shanghai,CN,CNSHA,NLRTM,PASS (blocked),pickUpOriginLocation | pickUpOriginCountry | motPickUpOrigin | carrierUpdatedLocodePol | carrierUpdatedLocodePod,estimatedDepartureFromOrigin | actualDepartureFromOrigin,DS=carrier (requires external) + type=estimated (blocks actual),Location fields still map none no DS condition
DS-PC-N-06,Pre-Carriage,Negative,estimatedLoadedAtOrigin none wrong DS,container_loaded,origin_inland_location,estimated,carrier,Guangzhou,CN,CNSHA,NLRTM,PASS (blocked),carrierUpdatedLocodePol | carrierUpdatedLocodePod,estimatedLoadedAtOrigin | actualLoadedAtOrigin,DS=carrier (requires external) + type=estimated (blocks actual),Neither date field maps
DS-PC-N-07,Pre-Carriage,Negative,depotPreLocation none null city,container_gate_out_empty,origin_inland_location,actual,null,null,CN,CNSHA,NLRTM,PASS (blocked),actualGateOutEmptyDepot | depotPreCountry | motGateOutEmpty | carrierUpdatedLocodePol | carrierUpdatedLocodePod,depotPreLocation,event_site.city=null (requires city present),actualGateOutEmptyDepot still maps none it only needs event+place_type+type; city is not its condition
DS-PC-N-08,Pre-Carriage,Negative,depotPreCountry none null country,container_gate_out_empty,origin_inland_location,actual,null,Suzhou,null,CNSHA,NLRTM,PASS (blocked),actualGateOutEmptyDepot | depotPreLocation | motGateOutEmpty | carrierUpdatedLocodePol | carrierUpdatedLocodePod,depotPreCountry,event_site.country=null (requires country present),actualGateOutEmptyDepot still maps; only country field blocked
DS-PC-N-09,Pre-Carriage,Negative,actualGateOutEmptyDepot none wrong event,container_departed,origin_inland_location,actual,null,Suzhou,CN,CNSHA,NLRTM,PASS (blocked),actualDepartureFromOrigin | pickUpOriginLocation | pickUpOriginCountry | motPickUpOrigin | carrierUpdatedLocodePol | carrierUpdatedLocodePod,actualGateOutEmptyDepot,event=container_departed (requires container_gate_out_empty),actualDepartureFromOrigin maps instead because container_departed + origin_inland + actual is its condition
DS-PC-E-01,Pre-Carriage,Edge Case,depotPreLocation none empty string city,container_gate_out_empty,origin_inland_location,actual,null,"",CN,CNSHA,NLRTM,PASS (blocked),actualGateOutEmptyDepot | depotPreCountry | motGateOutEmpty | carrierUpdatedLocodePol | carrierUpdatedLocodePod,depotPreLocation,event_site.city="" (empty string treated as absent),Verify empty string does not overwrite a previously set depotPreLocation value
DS-PC-E-02,Pre-Carriage,Edge Case,motGateOutEmpty none transport_mode=rail,container_gate_out_empty,origin_inland_location,actual,null,Suzhou,CN,CNSHA,NLRTM,PASS,actualGateOutEmptyDepot | depotPreLocation | depotPreCountry | motGateOutEmpty=rail | carrierUpdatedLocodePol | carrierUpdatedLocodePod,none,none,transport_mode value is passed through directly none not hardcoded to ocean
DS-PC-E-03,Pre-Carriage,Edge Case,actualGateOutEmptyDepot none overwritten by 2nd actual,container_gate_out_empty,origin_inland_location,actual,null,Ningbo,CN,CNSHA,NLRTM,PASS,actualGateOutEmptyDepot (new date) | depotPreLocation=Ningbo | depotPreCountry=CN | motGateOutEmpty,none,none,Second actual event updates all 4 fields with newer values none backend always takes latest actual
DS-POL-P-01,POL,Positive,actualGateInPol,container_gate_out_full,loading,actual,null,Shanghai,CN,CNSHA,NLRTM,PASS,actualGateInPol | carrierUpdatedLocodePol | carrierUpdatedLocodePod,estimatedGateInPol | actualGateOutEmptyDepot,none,event=container_gate_out_full + place_type=loading + type=actual
DS-POL-P-02,POL,Positive,estimatedGateInPol,container_gate_out_full,loading,estimated,external,Shanghai,CN,CNSHA,NLRTM,PASS,estimatedGateInPol | carrierUpdatedLocodePol | carrierUpdatedLocodePod,actualGateInPol,none,All 4 conditions met; actual not mapped because type≠actual
DS-POL-P-03,POL,Positive,actualLoadPol + leg1Mot + leg1VesselImoNumber + leg1VesselName,container_loaded,loading,actual,null,Shanghai,CN,CNSHA,NLRTM,PASS,actualLoadPol | leg1Mot | leg1VesselImoNumber | leg1VesselName | carrierUpdatedLocodePol | carrierUpdatedLocodePod,estimatedLoadPol | actualLoadedAtOrigin,none,container_loaded + loading + actual none 4 fields map from one event
DS-POL-P-04,POL,Positive,estimatedLoadPol,container_loaded,loading,estimated,external,Shanghai,CN,CNSHA,NLRTM,PASS,estimatedLoadPol | leg1Mot | leg1VesselImoNumber | leg1VesselName | carrierUpdatedLocodePol | carrierUpdatedLocodePod,actualLoadPol,none,estimated load none leg1Mot/vessel still map (no DS/type condition on them)
DS-POL-P-05,POL,Positive,actualDeparturePol,container_departed,loading,actual,null,Shanghai,CN,CNSHA,NLRTM,PASS,actualDeparturePol | carrierUpdatedLocodePol | carrierUpdatedLocodePod,estimatedDeparturePol | predictedDeparturePol | actualDepartureFromOrigin,none,container_departed + loading + actual
DS-POL-P-06,POL,Positive,estimatedDeparturePol,container_departed,loading,estimated,external,Shanghai,CN,CNSHA,NLRTM,PASS,estimatedDeparturePol | carrierUpdatedLocodePol | carrierUpdatedLocodePod,actualDeparturePol | predictedDeparturePol,none,estimated + DS=external; predictedDeparturePol not mapped because DS≠shippeo
DS-POL-P-07,POL,Positive,predictedDeparturePol,container_departed,loading,estimated,shippeo,Shanghai,CN,CNSHA,NLRTM,PASS,predictedDeparturePol | carrierUpdatedLocodePol | carrierUpdatedLocodePod,actualDeparturePol | estimatedDeparturePol,none,estimated + DS=shippeo; estimatedDeparturePol not mapped because DS≠external
DS-POL-N-01,POL,Negative,actualGateInPol none wrong type,container_gate_out_full,loading,estimated,null,Shanghai,CN,CNSHA,NLRTM,PASS (blocked),carrierUpdatedLocodePol | carrierUpdatedLocodePod,actualGateInPol | estimatedGateInPol,type=estimated (requires actual) + DS=null (blocks estimated too),Neither date field maps none type=estimated blocks actual; DS=null blocks estimated
DS-POL-N-02,POL,Negative,actualLoadPol none wrong type,container_loaded,loading,estimated,null,Shanghai,CN,CNSHA,NLRTM,PASS (blocked),leg1Mot | leg1VesselImoNumber | leg1VesselName | carrierUpdatedLocodePol | carrierUpdatedLocodePod,actualLoadPol | estimatedLoadPol,type=estimated (requires actual) + DS=null (blocks estimated too),leg1Mot and vessel still map none no type/DS condition on them
DS-POL-N-03,POL,Negative,actualDeparturePol none wrong type,container_departed,loading,estimated,null,Shanghai,CN,CNSHA,NLRTM,PASS (blocked),carrierUpdatedLocodePol | carrierUpdatedLocodePod,actualDeparturePol | estimatedDeparturePol | predictedDeparturePol,type=estimated + DS=null blocks all three departure fields,All three variants blocked none actual (wrong type) estimated (DS=null≠external) predicted (DS=null≠shippeo)
DS-POL-N-04,POL,Negative,estimatedDeparturePol none wrong DS,container_departed,loading,estimated,carrier,Shanghai,CN,CNSHA,NLRTM,PASS (blocked),carrierUpdatedLocodePol | carrierUpdatedLocodePod,estimatedDeparturePol | actualDeparturePol | predictedDeparturePol,DS=carrier (requires external); type=estimated blocks actual; DS=carrier≠shippeo blocks predicted,All three departure fields blocked with carrier DS
DS-POL-N-05,POL,Negative,predictedDeparturePol none wrong DS,container_departed,loading,estimated,external,Shanghai,CN,CNSHA,NLRTM,PASS (blocked),estimatedDeparturePol | carrierUpdatedLocodePol | carrierUpdatedLocodePod,predictedDeparturePol | actualDeparturePol,DS=external (requires shippeo for predicted); actual blocked because type≠actual,estimatedDeparturePol maps because DS=external matches its condition
DS-POL-N-06,POL,Negative,leg1VesselImoNumber none no vessel in payload,container_loaded,loading,actual,null,Shanghai,CN,CNSHA,NLRTM,PASS (blocked),actualLoadPol | leg1Mot | carrierUpdatedLocodePol | carrierUpdatedLocodePod,leg1VesselImoNumber | leg1VesselName,No milestoneVessel resource in payload,IMO and Name conditions require milestoneVessel present in resources array
DS-POL-N-07,POL,Negative,actualGateInPol none wrong place_type,container_gate_out_full,origin_inland_location,actual,null,Shanghai,CN,CNSHA,NLRTM,PASS (blocked),carrierUpdatedLocodePol | carrierUpdatedLocodePod,actualGateInPol | estimatedGateInPol,place_type=origin_inland_location (requires loading); no Pre-Carriage field exists for container_gate_out_full,Nothing maps from stage-specific fields none no rule for gate_out_full at origin_inland
